verb,voice,verb renamed,communicative,pure,discourse participation,state changing,private,emotive,cognitive,stative,telic,activity,evidential ,unclear classification,unclear usage,unclear sub-classification
imply,active,imply,yes,,yes,,,,,,,,,,,
impress,passive,be impressed,,,,,yes,yes,,,,,,,,
incense,passive,be incensed,,,,,yes,yes,,,,,,,,
indicate,active,indicate,yes,,yes,,,,,,,,,,,
indict,active,indict,yes,,yes,,,,,,,,,,,
infer,active,infer,,,,,yes,,yes,,yes,,,,,
inform,passive,be informed,,,,,yes,,,,,,yes,,,
infuriate,passive,be infuriated,,,,,yes,yes,,,,,,,,
insinuate,active,insinuate,yes,,yes,,,,,,,,,,,
insist,active,insist,yes,,,yes,,,,,,,,,,
instruct,passive,be instructed,,,,,yes,,,,,,yes,,,
insult,passive,be insulted,,,,,yes,yes,,,,,,,,
intercept,active,intercept,,,,,yes,,,,,,yes,,,
interest,passive,be interested,,,,,yes,yes,,,,,,,,
intimidate,passive,be intimidated,,,,,yes,yes,,,,,,,,
intrigue,passive,be intrigued,,,,,yes,yes,,,,,,,,
investigate,active,investigate,,,,,yes,,yes,,yes,,,,,
invigorate,passive,be invigorated,,,,,yes,yes,,,,,,,,
irk,passive,be irked,,,,,yes,yes,,,,,,,,
irritate,passive,be irritated,,,,,yes,yes,,,,,,,,
jade,passive,be jaded,,,,,yes,yes,,,,,,,yes,
jar,passive,be jarred,,,,,yes,yes,,,,,,,,
jest,active,jest,yes,yes,,,,,,,,,,,,
joke,active,joke,yes,yes,,,,,,,,,,,,
judge,active,judge,,,,,yes,,yes,,yes,,,,,
know,active,know,,,,,yes,,yes,yes,,,,,,
leak,active,leak,yes,,yes,,,,,,,,,,,
learn,active,learn,,,,,yes,,yes,,yes,,,,,
lecture,active,lecture,yes,,yes,,,,,,,,,,,
lie,active,lie,yes,,,yes,,,,,,,,,,
like,active,like,,,,,yes,yes,,,,,,,,
listen,active,listen,,,,,,,,,,,,yes,yes,
loathe,active,loathe,,,,,yes,yes,,,,,,,,
log,active,log,yes,yes,,,,,,,,,,,,
love,active,love,,,,,yes,yes,,,,,,,,
madden,passive,be maddened,,,,,yes,yes,,,,,,,,
maintain,active,maintain,yes,,yes,,,,,,,,,,,
manufacture,active,manufacture,yes,,,yes,,,,,,,,,,
mark,active,mark,yes,yes,,,,,,,,,,,,
marvel,active,marvel,,,,,yes,yes,,,,,,,,
marvel,passive,be marvelled,,,,,yes,yes,,,,,,,,
measure,active,measure,,,,,yes,,yes,,yes,,,,,
mention,active,mention,yes,,yes,,,,,,,,,,,
miff,passive,be miffed,,,,,yes,yes,,,,,,,,
misinform,passive,be misinformed,,,,,yes,,,,,,yes,,,
mislead,passive,be misled,,,,,yes,,,,,,yes,,,
miss,active,miss,,,,,yes,,yes,yes,,,,,,
moan,active,moan,yes,yes,,,,,,,,,,,,
mortify,passive,be mortified,,,,,yes,yes,,,,,,,,
mourn,active,mourn,,,,,yes,yes,,,,,,,,
move,passive,be moved,,,,,yes,yes,,,,,,,,
mumble,active,mumble,yes,yes,,,,,,,,,,,,
murmur,active,murmur,yes,yes,,,,,,,,,,,,
muse,active,muse,,,,,yes,,yes,,,yes,,,,
mutter,active,mutter,yes,yes,,,,,,,,,,,,
mystify,passive,be mystified,,,,,yes,yes,,,,,,,,
narrate,active,narrate,yes,yes,,,,,,,,,,,,
negotiate,active,negotiate,yes,,,yes,,,,,,,,,,
nonplus,passive,be nonplussed,,,,,yes,yes,,,,,,,,
note,active,note,yes,,yes,,,,,,,,,,,
notice,active,notice,,,,,yes,,yes,,yes,,,,,
notify,passive,be notified,,,,,yes,,,,,,yes,,,
observe,active,observe,,,,,yes,,,,,,yes,,,
obsess,passive,be obsessed,,,,,yes,yes,,,,,,,,
offend,passive,be offended,,,,,yes,yes,,,,,,,,
okay,active,okay,yes,,yes,,,,,,,,,,,
omit,active,omit,,,,,,,,,,,,yes,,
ordain,active,ordain,yes,,yes,,,,,,,,,,,
outrage,passive,be outraged,,,,,yes,yes,,,,,,,,
overhear,active,overhear,,,,,yes,,,,,,yes,,,
overhear,passive,be overheard,,,,,,,,,,,,yes,yes,
overlook,active,overlook,,,,,yes,,yes,yes,,,,,,
overwhelm,passive,be overwhelmed,,,,,yes,yes,,,,,,,,
pain,passive,be pained,,,,,yes,yes,,,,,,,,
panic,active,panic,,,,,yes,yes,,,,,,,,
panic,passive,be panicked,,,,,yes,yes,,,,,,,,
perceive,active,perceive,,,,,yes,,yes,yes,yes,,yes,,,
perplex,passive,be perplexed,,,,,yes,yes,,,,,,,,
persuade,passive,be persuaded,,,,,yes,,,,,,yes,,,
pester,passive,be pestered,,,,,yes,,,,,,yes,,,
