verb,voice,verb renamed,communicative,private,emotive,cognitive,stative cognitive,eventive cognitive with conclusion,eventive cognitive without conclusion,evidential ,negative,"state 
changing","discourse 
participation","unclear
classification","unclear
usage"
reason_out,active,reason out,,yes,,yes,,yes,,,,,,,
reassert,active,reassert,yes,,,,,,,,,,yes,,
reassure,passive,be reassured,,yes,,,,,,yes,,,,,
recall,active,recall,,yes,,yes,,yes,,,,,,,
recap,active,recap,yes,,,,,,,,,,,,
reckon,active,reckon,,yes,,yes,yes,,,,,,,,
recognize,active,recognize,,yes,,yes,,yes,,,,,,,
recollect,active,recollect,,yes,,yes,,yes,,,,,,,
reconsider,active,reconsider,,yes,,yes,,yes,,,,,,,
record,active,record,yes,,,,,,,,,,,,
rediscover,active,rediscover,,yes,,yes,,yes,,,,,,,
regret,active,regret,,yes,yes,,,,,,,,,,
reiterate,active,reiterate,yes,,,,,,,,,,,,
reject,active,reject,yes,,,,,,,,,,yes,,
relate,active,relate,yes,,,,,,,,,,,,
relieve,passive,be relieved,,yes,yes,,,,,,,,,,
relish,active,relish,,yes,yes,,,,,,,,,,
remark,active,remark,yes,,,,,,,,,,,,
remember,active,remember,,yes,,yes,,yes,,,,,,,
remind,passive,be reminded,,yes,,,,,,yes,,,,,
reminisce,active,reminisce,,yes,,yes,,,yes,,,,,,
repeat,active,repeat,yes,,,,,,,,,,,,
reply,active,reply,yes,,,,,,,,,,yes,,
report,active,report,yes,,,,,,,,,,,,
repress,active,repress,,yes,,,,,,,,,,,
request,active,request,yes,,,,,,,,,,,,
require,active,require,,yes,,yes,yes,,,,,,,,
research,active,research,,yes,,yes,,yes,,,,,,,
resent,active,resent,,yes,yes,,,,,,,,,,
resolve,active,resolve,,yes,,yes,,yes,,,,,,,
respond,active,respond,yes,,,,,,,,,,yes,,
restate,active,restate,yes,,,,,,,,,,,,
retort,active,retort,yes,,,,,,,,,,yes,,
retract,active,retract,yes,,,,,,,,,,,,
reveal,active,reveal,yes,,,,,,,,,,,,
revolt,passive,be revolted,,yes,yes,,,,,,,,,,
rouse,passive,be roused,,yes,yes,,,,,,,,,,
rule,active,rule,yes,,,,,,,,,,,,
ruminate,active,ruminate,,yes,,yes,,,yes,,,,,,
sadden,passive,be saddened,,yes,yes,,,,,,,,,,
satisfy,passive,be satisfied,,yes,yes,,,,,,,,,,
say,active,say,yes,,,,,,,,,,,,
scare,passive,be scared,,yes,yes,,,,,,,,,,
scoff,active,scoff,yes,,,,,,,,,,,,
scream,active,scream,yes,,,,,,,,,,,,
scribble,active,scribble,yes,,,,,,,,,,,,
see,active,see,,yes,,,,,,yes,,,,,
select,active,select,,yes,,yes,,yes,,,,,,,
shame,passive,be shamed,,,,,,,,,,,,yes,
share,active,share,yes,,,,,,,,,,,,
shock,passive,be shocked,,yes,yes,,,,,,,,,,
shout,active,shout,yes,,,,,,,,,,,,
show,active,show,yes,,,,,,,,,,,,
show,passive,be shown,,yes,,,,,,yes,,,,,
showcase,active,showcase,yes,,,,,,,,,yes,,,
shriek,active,shriek,yes,,,,,,,,,,,,
sicken,passive,be sickened,,yes,yes,,,,,,,,,,
sigh,active,sigh,yes,,,,,,,,,,,,
signal,active,signal,yes,,,,,,,,,,,,
signal,passive,be signalled,,yes,,,,,,yes,,,,,
signify,active,signify,yes,,,,,,,,,yes,,,
simulate,active,simulate,yes,,,,,,,,yes,yes,,,
sing,active,sing,yes,,,,,,,,,,,,
sketch,active,sketch,yes,,,,,,,,,,,,
snap,active,snap,yes,,,,,,,,,,,,
snitch,active,snitch,yes,,,,,,,,,,,,
sob,active,sob,yes,,,,,,,,,,,,
specify,active,specify,yes,,,,,,,,,,yes,,
spellbind,passive,be spellbound,,yes,yes,,,,,,,,,,
spook,passive,be spooked,,yes,yes,,,,,,,,,,
spot,active,spot,,yes,,,,,,yes,,,,,
spout,active,spout,yes,,,,,,,,,,,,
squeal,active,squeal,yes,,,,,,,,,,,,
stammer,active,stammer,yes,,,,,,,,,,,,
startle,passive,be startled,,yes,yes,,,,,,,,,,
state,active,state,yes,,,,,,,,,,,,
